country,1992_co2,1993_co2,1994_co2,1995_co2,1996_co2,1997_co2,1998_co2,1999_co2,2000_co2,2001_co2,2002_co2,2003_co2,2004_co2,2005_co2,2006_co2,2007_co2,2008_co2,2009_co2,2010_co2,2011_co2,2012_co2,2013_co2,2014_co2,1992_gdp,1993_gdp,1994_gdp,1995_gdp,1996_gdp,1997_gdp,1998_gdp,1999_gdp,2000_gdp,2001_gdp,2002_gdp,2003_gdp,2004_gdp,2005_gdp,2006_gdp,2007_gdp,2008_gdp,2009_gdp,2010_gdp,2011_gdp,2012_gdp,2013_gdp,2014_gdp,1992_population,1993_population,1994_population,1995_population,1996_population,1997_population,1998_population,1999_population,2000_population,2001_population,2002_population,2003_population,2004_population,2005_population,2006_population,2007_population,2008_population,2009_population,2010_population,2011_population,2012_population,2013_population,2014_population,diff_co2,diff_gdp,diff_population,emissions_92,emissions_14,alpha2Code,alpha3Code,region,subregion
Afghanistan,0.0997,0.0891,0.08,0.0727,0.066,0.0597,0.0552,0.0423,0.0385,0.039,0.0487,0.0518,0.0394,0.0529,0.0637,0.0854,0.154,0.242,0.294,0.41200000000000003,0.35,0.316,0.299,870.0,870.0,870.0,870.0,870.0,870.0,870.0,870.0,870.0,870.0,870.0,920.0,920.0,1010.0,1070.0,1210.0,1250.0,1490.0,1590.0,1680.0,1900.0,1940.0,1950.0,14500000,15800000,17100000,18100000,18900000,19400000,19700000,20200000,20800000,21600000,22600000,23700000,24700000,25700000,26400000,27100000,27700000,28400000,29200000,30100000,31200000,32300000,33400000,1.9989969909729186,1.2413793103448276,1.303448275862069,1445650.0,9986600.0,AF,AFG,Asia,Southern Asia
Albania,0.7759999999999999,0.732,0.613,0.672,0.652,0.499,0.565,0.958,0.968,1.03,1.2,1.38,1.34,1.38,1.28,1.3,1.46,1.48,1.56,1.79,1.68,1.73,1.96,1830.0,2130.0,2400.0,2830.0,3180.0,2900.0,3300.0,3770.0,4150.0,4600.0,4870.0,5250.0,5650.0,6060.0,6830.0,7490.0,8270.0,8670.0,9540.0,10200.0,10500.0,10800.0,11400.0,3250000,3200000,3150000,3110000,3100000,3100000,3110000,3120000,3130000,3130000,3130000,3120000,3100000,3090000,3060000,3030000,3000000,2970000,2950000,2930000,2910000,2900000,2900000,1.525773195876289,5.229508196721311,-0.1076923076923077,2521999.9999999995,5684000.0,AL,ALB,Europe,Southern Europe
Algeria,2.95,2.96,3.05,3.3,3.3,2.92,3.53,2.99,2.82,2.67,2.81,2.83,2.7,3.22,2.99,3.19,3.16,3.42,3.3,3.29,3.46,3.51,3.72,6400.0,6340.0,6250.0,6420.0,6680.0,6820.0,7170.0,7360.0,7690.0,8170.0,8570.0,9270.0,9760.0,10400.0,10900.0,11700.0,12100.0,12100.0,12600.0,12900.0,13200.0,13400.0,13900.0,27000000,27600000,28200000,28800000,29300000,29700000,30200000,30600000,31000000,31500000,31900000,32300000,32700000,33100000,33600000,34200000,34700000,35300000,36000000,36700000,37400000,38100000,38900000,0.26101694915254237,1.171875,0.44074074074074077,79650000.0,144708000.0,DZ,DZA,Africa,Northern Africa
Angola,0.401,0.431,0.281,0.769,0.7120000000000001,0.489,0.47100000000000003,0.574,0.58,0.573,0.721,0.498,0.996,0.98,1.1,1.2,1.18,1.23,1.24,1.25,1.33,1.25,1.29,880.0,880.0,690.0,1550.0,1560.0,1890.0,1880.0,1730.0,1860.0,1940.0,2280.0,2370.0,2580.0,3040.0,3580.0,4480.0,4810.0,5200.0,5210.0,5360.0,5550.0,5900.0,6130.0,12700000,13100000,13500000,13900000,14400000,14900000,15400000,15900000,16400000,16900000,17500000,18100000,18800000,19400000,20100000,20900000,21700000,22500000,23400000,24200000,25100000,26000000,26900000,2.216957605985037,5.965909090909091,1.1181102362204725,5092700.0,34701000.0,AO,AGO,Africa,Middle Africa
Antigua and Barbuda,3.86,3.88,3.73,3.74,3.88,3.96,4.0,4.03,4.12,4.1,4.29,4.62,4.78,4.81,4.91,5.14,5.19,5.45,5.54,5.36,5.42,5.36,5.38,10600.0,11400.0,12100.0,11500.0,12200.0,12800.0,13300.0,13600.0,14200.0,13900.0,13700.0,14800.0,15800.0,17300.0,19900.0,22100.0,22100.0,19400.0,18300.0,18000.0,18600.0,19000.0,20000.0,64500,65800,67200,68700,70200,71700,73200,74700,76000,77200,78300,79300,80300,81500,82700,84000,85400,86700,88000,89300,90400,91500,92600,0.39378238341968913,0.8867924528301887,0.4356589147286822,248970.0,498188.0,AG,ATG,Americas,Caribbean
Argentina,3.61,3.46,3.54,3.66,3.81,3.85,3.86,4.01,3.84,3.57,3.29,3.53,4.07,4.14,4.43,4.38,4.68,4.41,4.56,4.6,4.57,4.46,4.75,8890.0,9570.0,10200.0,9950.0,10500.0,11400.0,11800.0,11500.0,11500.0,11100.0,9480.0,10500.0,11700.0,13300.0,14700.0,16400.0,17300.0,16100.0,17700.0,19100.0,19100.0,19700.0,19400.0,33500000,34000000,34400000,34800000,35200000,35700000,36100000,36500000,36900000,37300000,37700000,38100000,38500000,38900000,39300000,39700000,40100000,40500000,40900000,41300000,41800000,42200000,42600000,0.31578947368421056,1.1822272215973004,0.2716417910447761,120935000.0,202350000.0,AR,ARG,Americas,South America
Armenia,1.69,0.76,0.8240000000000001,1.06,0.809,1.03,1.08,0.976,1.13,1.16,1.0,1.14,1.21,1.46,1.48,1.73,1.91,1.51,1.47,1.71,1.98,1.9,1.9,1130.0,1180.0,1420.0,1580.0,1780.0,1950.0,2080.0,2190.0,2380.0,2690.0,3130.0,3650.0,4150.0,4970.0,5870.0,6960.0,7690.0,6590.0,6890.0,7270.0,7950.0,8490.0,8790.0,3440000,3360000,3280000,3220000,3170000,3130000,3110000,3090000,3070000,3050000,3030000,3020000,3000000,2980000,2960000,2930000,2910000,2890000,2880000,2880000,2880000,2900000,2910000,0.12426035502958578,6.778761061946903,-0.15406976744186046,5813600.0,5529000.0,AM,ARM,Asia,Western Asia
Australia,15.3,15.7,15.6,15.6,16.5,16.6,17.0,17.2,17.3,16.9,17.5,17.1,17.2,17.3,17.8,17.8,18.1,18.2,17.7,17.4,17.0,16.1,15.4,17500.0,18600.0,19600.0,20200.0,21200.0,22200.0,23400.0,24500.0,25600.0,26600.0,27900.0,28800.0,30400.0,31300.0,33000.0,34900.0,35900.0,38800.0,37800.0,40200.0,41400.0,44700.0,45500.0,17400000,17600000,17800000,18000000,18200000,18400000,18600000,18800000,19000000,19200000,19400000,19600000,19900000,20200000,20500000,20900000,21300000,21800000,22200000,22500000,22900000,23300000,23600000,0.006535947712418277,1.6,0.3563218390804598,266220000.0,363440000.0,AU,AUS,Oceania,Australia and New Zealand
Austria,7.24,7.24,7.18,7.48,7.88,7.8,7.92,7.68,7.72,8.14,8.25,8.83,8.81,8.99,8.71,8.39,8.28,7.49,8.03,7.69,7.31,7.28,6.8,21300.0,21800.0,22600.0,23600.0,24500.0,25300.0,26500.0,27200.0,29100.0,29300.0,31000.0,32000.0,33700.0,34900.0,37700.0,39400.0,41700.0,40900.0,42400.0,44600.0,46500.0,48100.0,48900.0,7830000,7890000,7950000,7990000,8020000,8030000,8040000,8050000,8070000,8100000,8130000,8180000,8220000,8250000,8290000,8310000,8340000,8370000,8410000,8450000,8500000,8560000,8620000,-0.06077348066298348,1.295774647887324,0.10089399744572158,56689200.0,58616000.0,AT,AUT,Europe,Western Europe
Azerbaijan,7.53,6.39,5.46,4.29,3.98,3.76,3.96,3.55,3.63,3.51,3.58,3.66,3.8,4.02,4.54,3.5,4.02,3.57,3.4,3.66,3.84,3.8,3.94,3360.0,3360.0,2720.0,2410.0,2420.0,2630.0,2890.0,3110.0,3340.0,3710.0,4120.0,4650.0,5100.0,6280.0,8570.0,10600.0,12400.0,13800.0,14700.0,14700.0,15300.0,16300.0,17100.0,7470000,7580000,7680000,7780000,7860000,7930000,7990000,8050000,8120000,8200000,8280000,8360000,8450000,8540000,8630000,8720000,8820000,8920000,9030000,9150000,9260000,9390000,9510000,-0.4767596281540505,4.089285714285714,0.27309236947791166,56249100.0,37469400.0,AZ,AZE,Asia,Western Asia
